id,season,week,totalACs,totalTrainings,weekStartDate
158.0,,253,255,,
157.0,,254,302,,
156.0,,255,255,,
155.0,,256,270,,
154.0,,257,275,,
153.0,,258,265,,
152.0,,259,268,,
151.0,,260,255,,
150.0,,261,266,,
149.0,,262,280,,
148.0,,263,242,,
147.0,,264,258,,
146.0,,265,281,,
145.0,,266,274,,
144.0,,267,252,,
143.0,,268,249,,
142.0,,269,255,,
141.0,,270,267,,
140.0,,271,237,,
139.0,,272,263,,
138.0,,273,267,,
137.0,,274,261,,
136.0,,275,241,,
135.0,,276,238,,
134.0,,277,230,,
133.0,,278,248,,
132.0,,279,223,,
131.0,,280,231,,
130.0,,281,247,,
129.0,,282,234,,
128.0,,283,232,,
127.0,,284,225,,
126.0,,285,232,,
125.0,,286,223,,
124.0,,287,266,,
123.0,,288,240,,
122.0,,289,252,,
121.0,,290,236,,
120.0,,291,231,,
119.0,,292,234,,
118.0,,293,229,,
117.0,,294,248,,
116.0,,295,251,,
115.0,,296,323,,
114.0,,297,313,,
113.0,,298,328,,
112.0,,299,313,,
111.0,,300,322,,
110.0,,301,295,,
109.0,,302,302,,
108.0,,303,295,,
107.0,,304,325,,
106.0,,305,309,,
105.0,,306,325,,
104.0,,307,310,,
103.0,,308,290,,
102.0,,309,295,,
101.0,,310,285,,
100.0,,311,288,,
99.0,,312,277,,
98.0,,313,285,,
97.0,,314,297,,
96.0,,315,306,,
95.0,,316,299,,
94.0,,317,285,,
93.0,,318,293,,
92.0,,319,295,,
91.0,,320,330,,
90.0,,321,325,,
89.0,,322,317,,
88.0,,323,327,,
87.0,,324,316,,
86.0,,325,307,,
85.0,,326,306,,
84.0,,327,290,,
83.0,,328,294,,
82.0,,329,293,,
81.0,,330,300,,
80.0,,331,286,,
79.0,,332,291,,
78.0,,333,280,,
77.0,,334,283,,
76.0,,335,290,,
75.0,,336,269,,
74.0,,337,292,,
73.0,,338,285,,
72.0,,339,296,,
71.0,,340,278,,
70.0,,341,267,,
69.0,,342,258,,
68.0,,343,287,,
67.0,,344,280,,
66.0,,345,284,,
65.0,,346,294,,
64.0,,347,296,,
63.0,,348,278,,
62.0,,349,275,,
61.0,,350,270,,
60.0,,351,270,,
59.0,,352,282,,
58.0,,353,292,,
57.0,,354,292,,
56.0,,355,291,,
55.0,,356,282,,
54.0,,357,284,,
53.0,,358,299,,
52.0,,359,300,,
51.0,,360,289,,
50.0,,361,276,,
49.0,,362,298,,
48.0,,363,297,,
47.0,,364,287,,
46.0,,365,280,,
45.0,,366,292,,
44.0,,367,290,,
43.0,,368,315,,
42.0,,369,319,,
41.0,,370,322,,
40.0,,371,317,,
39.0,,372,305,,
38.0,,373,299,,
37.0,,374,302,,
36.0,,375,294,,
35.0,,376,294,,
34.0,,377,303,,
33.0,,378,308,,
32.0,,379,308,,
31.0,,380,297,,
30.0,,381,281,,
29.0,,382,276,,
28.0,,383,288,,
27.0,,384,280,,
26.0,,385,305,,
25.0,,386,290,,
24.0,,387,288,,
23.0,,388,289,,
22.0,,389,275,,
21.0,,390,269,,
20.0,,391,274,,
19.0,,392,278,,
18.0,,393,288,,
17.0,,394,273,,
16.0,,395,293,,
15.0,,396,283,,
14.0,,397,275,,
13.0,,398,273,,
12.0,,399,275,,
11.0,,400,273,,
10.0,,401,292,,
9.0,,402,311,,
8.0,,403,297,,
7.0,,404,298,,
6.0,,405,283,,
5.0,,406,290,,
4.0,,407,282,,
3.0,,408,276,,
2.0,,409,272,,
1.0,,410,292,,
,54.0,411,321,302.0,2025-04-21
