season,phase,seq,week,home,away,home_score,away_score,winner
1,regular,0,1,YKW,SJS,,,home
1,regular,1,1,COL,BAL,,,home
1,regular,2,1,OCO,AZ,,,away
1,regular,3,2,BAL,OCO,,,away
1,regular,4,2,COL,YKW,,,home
1,regular,5,2,SJS,AZ,,,home
1,regular,6,3,BAL,AZ,,,away
1,regular,7,3,YKW,COL,,,away
1,regular,8,3,OCO,SJS,,,home
1,regular,9,4,COL,BAL,,,away
1,regular,10,4,AZ,YKW,,,home
1,regular,11,4,SJS,OCO,,,away
1,regular,12,5,BAL,SJS,,,home
1,regular,13,5,YKW,AZ,,,home
1,regular,14,5,COL,OCO,,,home
1,regular,15,6,BAL,COL,,,away
1,regular,16,6,YKW,OCO,,,home
1,regular,17,6,AZ,SJS,,,home
1,regular,18,7,BAL,COL,,,away
1,regular,19,7,AZ,SJS,,,home
1,regular,20,7,OCO,YKW,,,home
1,regular,21,8,YKW,COL,,,home
1,regular,22,8,AZ,BAL,,,away
1,regular,23,8,OCO,SJS,,,home
1,regular,24,9,BAL,YKW,,,home
1,regular,25,9,COL,SJS,,,away
1,regular,26,9,AZ,OCO,,,home
1,regular,27,10,YKW,BAL,,,home
1,regular,28,10,OCO,COL,,,home
1,regular,29,10,SJS,AZ,,,away
1,regular,30,11,YKW,BAL,,,home
1,regular,31,11,COL,AZ,,,home
1,regular,32,11,SJS,OCO,,,away
1,regular,33,12,BAL,YKW,,,away
1,regular,34,12,AZ,OCO,,,home
1,regular,35,12,SJS,COL,,,home
1,regular,36,13,AZ,COL,,,home
1,regular,37,13,OCO,BAL,,,home
1,regular,38,13,SJS,YKW,,,away
1,regular,39,14,COL,YKW,,,home
1,regular,40,14,OCO,AZ,,,home
1,regular,41,14,SJS,BAL,,,home
1,playoff,10015,15,COL,YKW,13.0,6.0,home
1,playoff,10015,15,AZ,OCO,36.0,13.0,home
1,playoff,10016,16,AZ,COL,29.0,6.0,home
2,regular,0,1,YKW,COL,,,home
2,regular,1,1,AZ,OCO,,,home
2,regular,2,1,SJS,PHI,,,home
2,regular,3,1,LVL,BAL,,,home
2,regular,4,2,BAL,OCO,,,home
2,regular,5,2,YKW,SJS,,,home
2,regular,6,2,AZ,PHI,,,home
2,regular,7,2,LVL,COL,,,away
2,regular,8,3,COL,YKW,,,home
2,regular,9,3,LVL,AZ,,,away
2,regular,10,3,OCO,PHI,,,home
2,regular,11,3,SJS,BAL,,,home
2,regular,12,4,SJS,OCO,,,home
2,regular,13,4,PHI,BAL,,,away
2,regular,14,4,COL,AZ,,,home
2,regular,15,4,LVL,YKW,,,away
2,regular,16,5,OCO,LVL,,,home
2,regular,17,5,PHI,COL,,,home
2,regular,18,5,BAL,SJS,,,home
2,regular,19,5,AZ,YKW,,,home
2,regular,20,6,BAL,LVL,,,home
2,regular,21,6,AZ,COL,,,home
2,regular,22,6,SJS,YKW,,,away
2,regular,23,6,PHI,OCO,,,away
2,regular,24,7,BAL,YKW,,,home
2,regular,25,7,OCO,AZ,,,away
2,regular,26,7,COL,SJS,,,home
2,regular,27,7,PHI,LVL,,,home
2,regular,28,8,SJS,LVL,,,away
2,regular,29,8,PHI,YKW,,,home
2,regular,30,8,BAL,AZ,,,home
2,regular,31,8,OCO,COL,,,home
2,regular,32,9,BAL,COL,,,home
2,regular,33,9,OCO,SJS,,,home
2,regular,34,9,YKW,LVL,,,home
2,regular,35,9,YKW,BAL,,,home
2,regular,36,10,AZ,SJS,,,home
2,regular,37,10,COL,OCO,,,home
2,regular,38,10,LVL,PHI,,,away
2,regular,39,10,YKW,PHI,,,home
2,regular,40,11,LVL,OCO,,,away
2,regular,41,11,AZ,BAL,,,home
2,regular,42,11,SJS,COL,,,away
2,regular,43,11,BAL,PHI,,,home
2,regular,44,12,SJS,AZ,,,away
2,regular,45,12,COL,LVL,,,away
2,regular,46,12,OCO,YKW,,,home
2,regular,47,12,COL,PHI,,,home
2,regular,48,13,LVL,SJS,,,away
2,regular,49,13,YKW,AZ,,,away
2,regular,50,13,OCO,BAL,,,home
2,regular,51,13,COL,BAL,,,home
2,regular,52,14,YKW,OCO,,,home
2,regular,53,14,PHI,AZ,,,away
2,regular,54,14,AZ,LVL,,,home
2,regular,55,14,PHI,SJS,,,home
2,playoff,10016,16,BAL,YKW,16.0,14.0,home
2,playoff,10016,16,AZ,OCO,17.0,13.0,home
2,playoff,10017,17,AZ,BAL,33.0,6.0,home
3,regular,0,1,BAL,YKW,,,home
3,regular,1,1,COL,LVL,,,home
3,regular,2,1,AZ,SJS,,,home
3,regular,3,1,OCO,PHI,,,home
3,regular,4,2,PHI,AZ,,,away
3,regular,5,2,LVL,BAL,,,away
3,regular,6,2,SJS,YKW,,,home
3,regular,7,2,OCO,COL,,,home
3,regular,8,3,COL,BAL,,,away
3,regular,9,3,YKW,OCO,,,home
3,regular,10,3,AZ,LVL,,,home
3,regular,11,3,SJS,PHI,,,tie
3,regular,12,4,LVL,YKW,,,away
3,regular,13,4,BAL,PHI,,,home
3,regular,14,4,AZ,COL,,,home
3,regular,15,4,SJS,OCO,,,home
3,regular,16,5,PHI,YKW,,,home
3,regular,17,5,SJS,COL,,,home
3,regular,18,5,OCO,AZ,,,away
3,regular,19,5,BAL,LVL,,,home
3,regular,20,6,AZ,PHI,,,home
3,regular,21,6,OCO,LVL,,,home
3,regular,22,6,SJS,BAL,,,away
3,regular,23,6,YKW,COL,,,home
3,regular,24,7,COL,AZ,,,away
3,regular,25,7,OCO,SJS,,,home
3,regular,26,7,PHI,LVL,,,home
3,regular,27,7,YKW,BAL,,,home
3,regular,28,8,LVL,SJS,,,away
3,regular,29,8,COL,PHI,,,away
3,regular,30,8,YKW,AZ,,,away
3,regular,31,8,BAL,OCO,,,away
3,regular,32,9,BAL,AZ,,,away
3,regular,33,9,LVL,OCO,,,away
3,regular,34,9,COL,YKW,,,home
3,regular,35,9,PHI,SJS,,,home
3,regular,36,10,AZ,OCO,,,home
3,regular,37,10,SJS,LVL,,,away
3,regular,38,10,YKW,PHI,,,home
3,regular,39,10,BAL,COL,,,home
3,regular,40,11,COL,OCO,,,away
3,regular,41,11,AZ,YKW,,,home
3,regular,42,11,BAL,SJS,,,home
3,regular,43,11,LVL,PHI,,,away
3,regular,44,12,AZ,BAL,,,away
3,regular,45,12,LVL,COL,,,home
3,regular,46,12,PHI,OCO,,,home
3,regular,47,12,YKW,SJS,,,away
3,regular,48,13,PHI,COL,,,home
3,regular,49,13,OCO,BAL,,,home
3,regular,50,13,YKW,LVL,,,home
3,regular,51,13,SJS,AZ,,,away
3,regular,52,14,LVL,AZ,,,away
3,regular,53,14,OCO,YKW,,,away
3,regular,54,14,PHI,BAL,,,home
3,regular,55,14,COL,SJS,,,home
3,playoff,10015,15,BAL,PHI,34.0,3.0,home
3,playoff,10015,15,AZ,OCO,27.0,7.0,home
3,playoff,10016,16,AZ,BAL,49.0,12.0,home
4,regular,0,1,OCO,AZ,,,away
4,regular,1,1,SJS,COL,,,home
4,regular,2,1,BAL,YKW,,,home
4,regular,3,1,PHI,LVL,,,home
4,regular,4,2,BAL,SJS,,,away
4,regular,5,2,COL,LVL,,,away
