id,uid,team,league,createdDate,username
23,3101,CTC,ISFL,2025-03-03 17:24:53,lordcoolcats
24,3551,CTC,ISFL,2025-03-03 17:25:00,Cycro
25,1875,COL,ISFL,2025-03-03 17:25:09,iStegosauruz
27,2461,OSK,ISFL,2025-03-03 17:25:53,firstfray
28,3778,OSK,ISFL,2025-03-03 17:26:01,Triceracop
29,2091,SAR,ISFL,2025-03-03 17:26:07,abh89
33,2583,HON,ISFL,2025-03-03 17:26:47,IceBear32
35,3826,NOLA,ISFL,2025-03-03 17:27:04,Tmoney6996
41,1641,SJS,ISFL,2025-03-03 17:28:00,RussDrivesTheBus
53,2409,POR,DSFL,2025-03-03 17:34:03,TheSparkyDee
68,3559,AZ,ISFL,2025-03-12 11:23:10,CROney3
71,4324,BFB,ISFL,2025-03-12 19:22:00,IR15H0000000000
74,2637,OCO,ISFL,2025-03-17 20:04:53,MMFLEX
97,4308,BAL,ISFL,2025-08-02 16:41:30,RoyRivers
98,4570,NOR,DSFL,2025-08-06 12:43:45,Ltblackgrizzly
101,4638,LON,DSFL,2025-09-26 21:27:26,Vumion
102,4162,YKW,ISFL,2025-09-29 09:33:52,Dev0
105,3232,NYS,ISFL,2025-11-21 23:05:28,PurplePiratePoo
106,4653,NYS,ISFL,2025-11-21 23:05:40,TheAmericanPineapple
109,4263,AZ,ISFL,2025-12-03 13:06:23,lunaripcole
110,4099,NOLA,ISFL,2025-12-03 13:06:35,ACynicalGamer
115,4656,LON,DSFL,2026-01-23 20:35:10,Joriel
117,4492,YKW,ISFL,2026-01-23 20:59:49,Casey
118,4465,HON,ISFL,2026-01-23 21:00:03,Griff
121,4710,BBB,DSFL,2026-03-19 15:12:32,admiralballtr8s
123,4806,MIN,DSFL,2026-03-20 20:17:35,PidgeyDestined
125,4480,BFB,ISFL,2026-03-26 15:17:28,CowboyBlender
126,4629,COL,ISFL,2026-05-15 21:12:20,bobtrek
127,4802,TIJ,DSFL,2026-05-18 22:26:47,xyan
128,2175,BBB,DSFL,2026-05-18 22:26:57,GlimsTC
130,4546,BAL,ISFL,2026-05-25 09:35:39,uhnp
132,4726,POR,DSFL,2026-05-28 22:04:32,CheeseConeys
138,4544,SAR,ISFL,2026-07-11 13:33:27,rrf_1
139,4634,OCO,ISFL,2026-07-11 13:33:47,Degradation
141,4999,MIN,DSFL,2026-07-12 21:30:49,Frantik
142,1097,NOR,DSFL,2026-07-14 15:00:45,Buttersqauch101
144,2931,AUS,ISFL,2026-09-04 21:53:23,Dindog
145,1236,AUS,ISFL,2026-09-04 21:53:37,Frostbite
146,4227,SJS,ISFL,2026-09-04 21:54:12,Sevrin
149,4946,KCC,DSFL,2026-09-05 19:17:50,Mr. Soup
150,4978,KCC,DSFL,2026-09-05 19:18:02,Vewdew
153,4970,TIJ,DSFL,2026-09-06 00:37:27,Bloodless
154,4290,DAL,DSFL,2026-09-12 14:30:57,ManningTypeAim
156,3995,DAL,DSFL,2026-09-19 01:11:20,JJ5
