season,pid,uid,draft_season,old_tpe,pct,regression_tpe,new_tpe
52,5332,4308,51,308,0,0,308
52,5354,4298,51,309,0,0,309
53,5332,4308,51,308,0,0,308
53,5354,4298,51,309,0,0,309
53,5387,3428,52,177,0,0,177
53,5388,4371,52,157,0,0,157
53,5397,1107,52,487,0,0,487
53,5401,2232,52,363,0,0,363
53,5406,4364,52,297,0,0,297
53,5408,3919,52,309,0,0,309
53,5413,2855,52,155,0,0,155
54,5332,4308,51,308,0,0,308
54,5354,4298,51,309,0,0,309
54,5387,3428,52,177,0,0,177
54,5388,4371,52,157,0,0,157
54,5397,1107,52,487,0,0,487
54,5401,2232,52,363,0,0,363
54,5406,4364,52,297,0,0,297
54,5408,3919,52,309,0,0,309
54,5413,2855,52,155,0,0,155
54,5442,402,53,594,0,0,594
54,5444,294,53,382,0,0,382
54,5454,4392,53,557,0,0,557
54,5455,1098,53,546,0,0,546
54,5457,186,53,335,0,0,335
54,5458,4394,53,323,0,0,323
54,5459,2474,53,215,0,0,215
54,5463,2101,53,404,0,0,404
54,5465,2592,53,657,0,0,657
54,5467,2166,53,402,0,0,402
55,5332,4308,51,308,0,0,308
55,5354,4298,51,309,0,0,309
55,5387,3428,52,177,0,0,177
55,5388,4371,52,157,0,0,157
55,5397,1107,52,487,0,0,487
55,5401,2232,52,363,0,0,363
55,5406,4364,52,297,0,0,297
55,5408,3919,52,309,0,0,309
55,5413,2855,52,155,0,0,155
55,5442,402,53,594,0,0,594
55,5444,294,53,382,0,0,382
55,5454,4392,53,557,0,0,557
55,5455,1098,53,546,0,0,546
55,5457,186,53,335,0,0,335
55,5458,4394,53,323,0,0,323
55,5459,2474,53,215,0,0,215
55,5463,2101,53,404,0,0,404
55,5465,2592,53,657,0,0,657
55,5467,2166,53,402,0,0,402
55,5474,4480,54,922,0,0,922
55,5475,3316,54,217,0,0,217
55,5476,4455,54,479,0,0,479
55,5479,1426,54,390,0,0,390
55,5480,4508,54,179,0,0,179
