season,start_date,end_date,ended
1,,,1
2,,,1
3,,,1
4,,,1
5,,,1
6,,,1
7,,,1
8,,,1
9,,,1
10,,,1
11,,,1
12,,,1
13,,,1
14,,,1
15,,,1
16,,,1
17,,,1
18,,,1
19,,,1
20,,,1
21,,,1
22,,,1
23,,,1
24,,,1
25,,,1
26,,,1
27,,,1
28,,,1
29,,,1
30,,,1
31,,,1
32,,,1
33,,,1
34,,,1
35,,,1
36,,,1
37,,,1
38,,,1
39,,,1
40,,,1
41,,,1
42,,,1
43,,,1
44,,,1
45,,,1
46,,,1
47,,,1
48,,,1
49,,,1
50,,,1
51,,,1
52,,,1
53,2025-02-07 21:00:00,2025-04-04 21:00:00,1
54,2025-04-04 21:01:00,2025-06-06 21:00:00,1
55,2025-06-06 14:09:06,2025-08-01 21:00:00,1
56,2025-08-01 20:55:50,2025-09-26 21:00:00,1
57,2025-09-27 08:20:00,2025-11-21 21:00:00,1
58,2025-11-22 09:46:44,2026-01-16 21:00:00,1
59,2026-01-23 21:02:09,2026-03-13 21:00:00,1
60,2026-03-21 11:15:15,2026-05-08 21:00:00,1
61,2026-05-16 12:36:50,2026-07-03 21:00:00,1
62,2026-07-11 13:29:19,2026-08-28 21:00:00,1
63,2026-09-05 14:31:05,2026-10-23 21:00:00,0
