pid,task_id,date,task_type,tpe_change,description,submitted_by
3488,3685,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3489,3686,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3490,3687,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3491,3688,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3492,3689,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3493,3690,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3494,3691,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3495,3692,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3496,3693,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3497,3694,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3498,3695,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3499,3696,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3500,3697,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3501,3698,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3502,3699,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3503,3700,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3504,3701,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3505,3702,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3506,3703,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3507,3704,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3508,3705,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3509,3706,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3510,3707,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3511,3708,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3512,3709,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3513,3710,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3514,3711,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3515,3712,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3516,3713,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3517,3714,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
